SYMBOL,SERIES,TIMESTAMP,ISIN
CAMS,EQ,2022-10-13,INE411U01027
CANBK,EQ,2022-10-13,INE306A01021
CANDC,EQ,2022-10-13,INE118A01012
CANFINHOME,EQ,2022-10-13,INE296A01024
CANTABIL,EQ,2022-10-13,INE794B01026
CAPACITE,EQ,2022-10-13,INE050E01027
CAPLIPOINT,BE,2022-10-13,INE618N01014
CAPTRUST,EQ,2022-10-13,INE875R01011
CARBORUNIV,EQ,2022-10-13,INE787D01026
CAREERP,EQ,2022-10-13,INE164A01016
CARERATING,EQ,2022-10-13,INE083D01012
CARTRADE,EQ,2022-10-13,INE119A01028
CASTROLIND,EQ,2022-10-13,INE655B01011
CCCL,EQ,2022-10-13,INE459A01010
CCHHL,EQ,2022-10-13,INE213C01025
CCL,EQ,2022-10-13,INE545U01014
CDSL,EQ,2022-10-13,INE863I01016
CEATLTD,EQ,2022-10-13,INE862Y01015
CELEBRITY,EQ,2022-10-13,INE028A01039
CENTENKA,EQ,2022-10-13,INE084A01016
CENTEXT,EQ,2022-10-13,INE629D01020
CENTRALBK,EQ,2022-10-13,INE382M01027
CENTRUM,BZ,2022-10-13,INE855F01034
CENTUM,EQ,2022-10-13,INE373A01013
CENTURYPLY,EQ,2022-10-13,INE186H01022
CENTURYTEX,EQ,2022-10-13,INE176A01028
CERA,EQ,2022-10-13,INE462A01022
CEREBRAINT,EQ,2022-10-13,INE464A01028
CESC,EQ,2022-10-13,INE676A01027
CGCL,EQ,2022-10-13,INE050A01025
CGPOWER,EQ,2022-10-13,INE425B01027
CHALET,EQ,2022-10-13,INE412G01016
CHAMBLFERT,BE,2022-10-13,INE977Y01011
CHEMBOND,EQ,2022-10-13,INE905P01028
CHEMCON,EQ,2022-10-13,INE171Z01018
CHEMFAB,EQ,2022-10-13,INE520H01022
CHEMPLASTS,EQ,2022-10-13,INE495P01012
CHENNPETRO,EQ,2022-10-13,INE844K01012
CHEVIOT,EQ,2022-10-13,INE263A01024
CHOICEIN,EQ,2022-10-13,INE258A01016
CHOLAFIN,EQ,2022-10-13,INE922A01025
CHOLAHLDNG,EQ,2022-10-13,INE463A01038
CIGNITITEC,EQ,2022-10-13,INE052T01013
CINELINE,EQ,2022-10-13,INE878K01010
CINEVISTA,EQ,2022-10-13,INE243D01012
CIPLA,EQ,2022-10-13,INE661I01014
CLEAN,EQ,2022-10-13,INE414D01019
CLEDUCATE,EQ,2022-10-13,INE354C01027
CLNINDIA,EQ,2022-10-13,INE458B01036
CLSEL,EQ,2022-10-13,INE363W01018
CMICABLES,EQ,2022-10-13,INE474E01029
CMSINFO,EQ,2022-10-13,INE465A01025
COALINDIA,EQ,2022-10-13,INE561C01019
COASTCORP,EQ,2022-10-13,INE838B01013
COCHINSHIP,EQ,2022-10-13,INE316L01019
COFFEEDAY,EQ,2022-10-13,INE397D01024
COFORGE,EQ,2022-10-13,INE257A01026
COLPAL,EQ,2022-10-13,INE412U01025
COMPINFO,EQ,2022-10-13,INE828A01016
COMPUSOFT,EQ,2022-10-13,INE143A01010
CONCOR,EQ,2022-10-13,INE376G01013
CONFIPET,EQ,2022-10-13,INE829A01014
CONSOFINVT,EQ,2022-10-13,INE800A01015
CONTROLPR,EQ,2022-10-13,INE340A01012
CORALFINAC,EQ,2022-10-13,INE865C01022
CORDSCABLE,BZ,2022-10-13,INE831Q01016
COROMANDEL,EQ,2022-10-13,INE791A01024
COSMOFIRST,EQ,2022-10-13,INE416D01022
COUNCODOS,EQ,2022-10-13,INE350H01032
CRAFTSMAN,EQ,2022-10-13,INE153T01027
CREATIVE,EQ,2022-10-13,INE233B01017
CREATIVEYE,EQ,2022-10-13,INE472A01039
CREDITACC,EQ,2022-10-13,INE338D01028
CREST,EQ,2022-10-13,INE032A01023
CRISIL,EQ,2022-10-13,INE02PY01013
CROMPTON,EQ,2022-10-13,INE666D01022
CROWN,EQ,2022-10-13,INE323A01026
CSBBANK,EQ,2022-10-13,INE029A01011
CSLFINANCE,EQ,2022-10-13,INE110A01019
CTE,EQ,2022-10-13,INE791I01019
CUB,EQ,2022-10-13,INE727S01012
CUBEXTUB,BE,2022-10-13,INE650L01011
CUMMINSIND,EQ,2022-10-13,INE118H01025
CUPID,BE,2022-10-13,INE032Z01020
CYBERMEDIA,EQ,2022-10-13,INE594B01012
CYBERTECH,EQ,2022-10-13,INE836A01035
CYIENT,EQ,2022-10-13,INE817H01014
DAAWAT,EQ,2022-10-13,INE295F01017
DABUR,BE,2022-10-13,INE139I01011
DALBHARAT,EQ,2022-10-13,INE319B01014
DALMIASUG,EQ,2022-10-13,INE526B01014
DAMODARIND,EQ,2022-10-13,INE052I01032
DANGEE,EQ,2022-10-13,INE278Y01022
DATAMATICS,EQ,2022-10-13,INE596I01012
DATAPATTNS,EQ,2022-10-13,INE476A01014
DBCORP,BZ,2022-10-13,INE874H01015
DBL,EQ,2022-10-13,INE477A01020
DBOL,EQ,2022-10-13,INE068L01016
DBREALTY,EQ,2022-10-13,INE264T01014
DBSTOCKBRO,EQ,2022-10-13,INE475E01026
DCAL,EQ,2022-10-13,INE707C01018
DCBBANK,EQ,2022-10-13,INE120A01034
DCM,EQ,2022-10-13,INE521J01018
DCMFINSERV,EQ,2022-10-13,INE752H01013
DCMNVL,EQ,2022-10-13,INE290S01011
DCMSHRIRAM,EQ,2022-10-13,INE172A01027
DCMSRIND,BE,2022-10-13,INE429I01024
DCW,BE,2022-10-13,INE652F01027
DECCANCE,EQ,2022-10-13,INE421D01022
DEEPAKFERT,EQ,2022-10-13,INE736A01011
DEEPAKNTR,EQ,2022-10-13,INE482A01020
DEEPENR,EQ,2022-10-13,INE185H01016
DEEPINDS,EQ,2022-10-13,INE485A01015
DELHIVERY,BE,2022-10-13,INE281A01026
DELPHIFX,EQ,2022-10-13,INE483A01010
DELTACORP,EQ,2022-10-13,INE660C01027
DELTAMAGNT,EQ,2022-10-13,INE320B01020
DEN,EQ,2022-10-13,INE348B01021
DENORA,EQ,2022-10-13,INE055A01016
DEVIT,EQ,2022-10-13,INE739E01017
DEVYANI,EQ,2022-10-13,INE345B01019
DFMFOODS,EQ,2022-10-13,INE486A01021
DGCONTENT,EQ,2022-10-13,INE180C01026
DHAMPURSUG,EQ,2022-10-13,INE067A01029
DHANBANK,EQ,2022-10-13,INE427F01016
DHANI,EQ,2022-10-13,INE085A01013
DHANUKA,EQ,2022-10-13,INE995D01025
DHARAMSI,EQ,2022-10-13,INE03YM01018
DHARSUGAR,EQ,2022-10-13,INE783X01023
DHRUV,EQ,2022-10-13,INE488A01050
DHUNINV,EQ,2022-10-13,INE178A01016
DIAMONDYD,EQ,2022-10-13,INE974B01016
DICIND,EQ,2022-10-13,INE102B01014
DIGISPICE,EQ,2022-10-13,INE121A01024
DIL,EQ,2022-10-13,INE149A01033
DISHTV,EQ,2022-10-13,INE675C01017
DIVISLAB,EQ,2022-10-13,INE704H01022
