SYMBOL,TOTTRDQTY,TOTTRDVAL,TOTALTRADES
EASEMYTRIP,7791,21473045.2,2432
EASTSILK,18398,8553318.9,383
ECLERX,3329,14703.1,20
EDELWEISS,89568,88504142.45,5788
EICHERMOT,6759,1027202,271
EIDPARRY,17073,52698915.1,3404
EIFFL,1236941,474193852.5,24141
EIHAHOTELS,9744,369611.95,712
EIHOTEL,148563,35768072.7,4756
EIMCOELECO,5935,1476923.6,250
EKC,19050,1237742.2,316
ELDEHSG,2624508,478060747.4,19849
ELECON,11694,318944.5,254
ELECTCAST,195280,233759666.9,12353
ELECTHERM,21260,5181349.7,1264
ELGIEQUIP,194128,4195962.25,893
ELGIRUBCO,14310,2000941.55,446
EMAMILTD,108687,84024958.6,17679
EMAMIPAP,2893981,346034245.2,17148
EMAMIREAL,2075101,1107268148,37528
EMKAY,70179,105873187.3,4916
EMMBI,27284,9131285.95,2262
EMUDHRA,11204,522610.1,421
ENDURANCE,74131,1618206.35,749
ENERGYDEV,54368,16740752.85,3224
ENGINERSIN,98442,114461309.3,9176
ENIL,226281,27467808.9,4173
EPL,87540,19111902,3092
EQUIPPP,94166,15478558.4,2651
EQUITAS,679776,76120459.1,8332
EQUITASBNK,9283,229653.4,163
ERIS,521355,53677125.15,5253
EROSMEDIA,1382591,135038689.6,12903
ESABINDIA,37929,3129836.55,620
ESCORTS,16047,91467.9,63
ESSARSHPNG,42166,7540943.1,1166
ESSENTIA,45904,48182280.1,4852
ESTER,47136,3683444.7,1290
ETHOSLTD,1873846,107029174.6,5706
EUROTEXIND,20511,10478206.45,1305
EVEREADY,151294,135256470,7837
EVERESTIND,780470,1742063813,37271
EXCEL,47768,6603761.15,636
EXCELINDUS,196941,58508829.9,9081
EXIDEIND,43595,24454669.75,2697
EXPLEOSOL,2002,816709.65,304
EXXARO,3058371,657333448.1,23440
FACT,34169,2950986.35,740
FAIRCHEMOR,1223465,40852942.75,6335
FCL,11518,10363250.25,991
FCONSUMER,53423,12934841.2,2038
FCSSOFT,1432246,272689638.4,20576
FDC,54146,20396245.1,1357
FEDERALBNK,53877,754704.75,314
FEL,190039,41637001.45,7125
FELDVR,86059,1025157.2,307
FIBERWEB,644301,28452414.9,5112
FIEMIND,27555,18832947.6,3509
FILATEX,14969,5532425.95,1035
FINCABLES,4904,56346.55,52
FINEORG,69043,4468504.8,1004
FINOPB,262,167652.95,87
FINPIPE,8228,7319882.4,1681
FLEXITUFF,1906,791483.05,225
FLFL,27136,708293.9,287
FLUOROCHEM,945987,25459267.4,1750
FMGOETZE,13589604,224715639.5,13679
FMNL,299017,1053480880,28576
FOCUS,135229,578978129.7,11935
FOODSIN,3680850,1332269807,31255
FORCEMOT,718188,131991558.5,17105
FORTIS,171144,739444408.6,23476
FOSECOIND,53484,206191.05,178
FSC,10127,5065160.45,1182
FSL,60044,4230665.95,941
GABRIEL,19945,9739538.7,1849
GAEL,34307,2013854.85,875
GAIL,4733,1807142.55,341
GAL,68494,892581.25,377
GALAXYSURF,26016,11478651.05,1182
GALLANTT,3118,84410.75,30
GANDHITUBE,148129,57349899,6285
GANECOS,940066,327541204.6,24888
GANESHBE,302784,1291909620,31665
GANESHHOUC,10418,2920675.6,562
GANGAFORGE,2580,509289,195
GANGESSECU,348649,4948248.05,407
GARFIBRES,7233,1603368.6,240
GATEWAY,656496,65488480.95,6496
GATI,19108,3120424.05,865
GAYAHWS,27769,63988502.35,4961
GAYAPROJ,10805,3896652.3,746
GEECEE,990,176242.05,22
GEEKAYWIRE,882934,343457921.6,16775
GENCON,14913,55366.25,59
GENESYS,30759,40502241.7,4978
GENUSPAPER,1174950,71293814.35,11403
GENUSPOWER,753969,2631725456,56659
GEOJITFSL,309906,188248015.5,15412
GEPIL,11006,1747685.55,85
GESHIP,10989,4977274.45,951
GET&D,508053,93910153.35,11815
GFLLIMITED,1847,665090.9,94
GFSTEELS,133791,15219361.95,2305
GHCL,4218,2580116.2,289
GICHSGFIN,94215,31188192.7,3493
GICRE,1392138,55642240.9,3904
GILLANDERS,10016,777986.9,138
GILLETTE,221580,89325263.15,8391
GINNIFILA,24511,828946.25,389
GIPCL,22392,10660833.55,2031
GKWLIMITED,27365,4476898.2,996
GLAND,30831,2370316.85,585
GLAXO,7840,631618.8,276
GLENMARK,5524,538193.9,233
GLFL,87796,27155403.3,6531
GLOBAL,13947,18689632,2980
GLOBALVECT,34101,613014.35,269
GLOBE,1039045,65695329.65,11925
GLOBUSSPR,36170,5849488.9,333
GLS,86722,13621987.35,3968
GMBREW,2088,101503.25,33
GMDCLTD,251212,25117288.55,5057
GMMPFAUDLR,290049,14053483.2,2939
GMRINFRA,782278,548938436,14158
GMRP&UI,1184756,44070625.2,965
GNA,1796,6160195.85,576
GNFC,575930,1159228302,28498
GOACARBON,89600,778817.45,324
GOCLCORP,5204664,30737671.3,878
GOCOLORS,85274,14541676.3,2840
GODFRYPHLP,32287,31655467.4,4279
GODHA,9407,106762.6,82
GODREJAGRO,184264,57048990.6,2102
GODREJCP,49768,41811334.9,3963
GODREJIND,23236596,14959668.35,3265
GODREJPROP,6705,8384768.05,1441
GOENKA,1623608,250976258.8,18275
GOKEX,11017,13604315.9,2694
GOKUL,40238,4285322.35,1034
GOKULAGRO,74058,8583609.15,2263
GOLDENTOBC,40888,90557185.85,8248
GOLDIAM,369782,137360005.7,11572
GOLDTECH,3082406,5228722.9,2097
GOODLUCK,2487105,6962464.35,2736
GOODYEAR,532733,147705054.1,14210
GPIL,18586183,2334923505,52784
GPPL,475345,849085.2,617
GPTINFRA,9378,66002.85,52
GRANULES,31946,1236536.3,227
GRAPHITE,37620,59452344.25,4367
GRASIM,61614,6108648.75,892
GRAUWEIL,63593,29149656.7,5750
GRAVITA,72349,507192308.4,16260
GREAVESCOT,214494,42092377.15,7118
GREENLAM,295748,40023090.15,7838
GREENPANEL,15943,457310.75,237
GREENPLY,242074,1715009.1,825
GREENPOWER,106522,425525578.3,18605
GRINDWELL,42077,13859137.45,2859
GRINFRA,70097,343611.25,219
GRMOVER,180598,28680654.45,2202
GROBTEA,51865,4713092.2,1875
GRPLTD,137955,182023930.7,12524
GRSE,867973,236957001.8,20975
GRWRHITECH,1883,3540680.8,330
GSCLCEMENT,38527,936441,532
GSFC,1155813,119234855,8490
GSPL,136578,20848971.75,4892
GSS,140425,37362473.25,5224
GTL,6397554,549445352.4,27704
GTLINFRA,321010,900223.4,305
GTPL,3913,11486732.55,1330
GUFICBIO,21584,1202798.9,593
GUJALKALI,2377,1043295.05,172
GUJAPOLLO,46917,35654680.05,3159
GUJGASLTD,170142,22378140.35,1425
GUJRAFFIA,29388,11274472.8,1013
GULFOILLUB,85685,489703.65,306
GULFPETRO,1754,184759.95,97
GULPOLY,3813,12914229.8,1452
GVKPIL,296616,21109190.4,3897
HAL,202539,35660995.95,6889
HAPPSTMNDS,1003979,1043923.1,596
HARDWYN,10006897,133203179.3,9024
HARIOMPIPE,12099,1742989.5,359
HARRMALAYA,49507,2982363.85,779
HARSHA,33792,1043309.3,292
HATHWAY,9512,5219695.85,528
HATSUN,1114102,20249513.7,2895
HAVELLS,102971,8121182.05,1654
HAVISHA,459078,22440417.3,4762
HBLPOWER,40099,5900040.05,2439
HBSL,148941,75978204.35,9807
HCC,88319,11386279.6,1936
HCG,56289,3859319.25,700
HCL-INSYS,30,111,1
HCLTECH,138917,92522755.6,7302
HDFCAMC,10599,646529.25,153
HDFCBANK,1946,10035614.8,363
HDFCLIFE,25228,849998,292
HDIL,65678,5641223.45,1635
HEADSUP,180,106256.5,21
HECPROJECT,136119,288793570.3,14252
HEG,42095,58290450.85,5366
HEIDELBERG,790121,309455470.6,15853
HEMIPROP,827,2150.2,5
HERANBA,48956,19844969.8,1641
HERCULES,7890,451659,189
HERITGFOOD,326447,1800824.95,808
HEROMOTOCO,29821,24870893.95,2784
HESTERBIO,200029,83445068.1,9273
HEXATRADEX,37712,22191103.95,2967
HFCL,679578,95496748.25,6064
HGINFRA,40157,74899499,9717
HGS,7267888,252826270.5,38802
HIKAL,314517,8424008.35,936
HIL,31888,20689425.65,2610
HILTON,1867415,1226856377,41888
HIMATSEIDE,20835,8852557.75,1233
HINDALCO,9847,2625835.15,335
HINDCOMPOS,20193,26779465.1,3178
HINDCON,151903,198674218.5,11175
HINDCOPPER,1052171,3056750.35,1078
HINDMOTORS,204340,105583272.7,10892
HINDNATGLS,1326401,1121076429,57152
HINDOILEXP,571533,245766348.6,3290
HINDPETRO,297584,352801476.8,12500
HINDUNILVR,130300,221923.1,240
HINDWAREAP,502279,191139471.7,20930
HINDZINC,72706,2288953.3,1169
HIRECT,67865,5512920.85,1565
HISARMETAL,1832,144630,63
HITECH,52849,6651562.95,1599
HITECHCORP,15436,818413.2,240
HITECHGEAR,157323,69693078,7402
HLEGLAS,10340,10559538.5,2239
HLVLTD,187407,50218407.7,6070
HMT,616906,52784361.55,10126
HMVL,35322,4424599.6,1140
HNDFDS,1256799,432641863.7,13840
HOMEFIRST,713099,260476148.1,17938
HONAUT,748089,1245356912,21720
HONDAPOWER,463805,36758511.15,7424
HOTELRUGBY,245407,86090293.3,8410
HOVS,611568,92235031.65,13646
HPAL,36448,11179246,3422
HPL,188527,72091415.25,12531
HSCL,60920,10878725.5,2002
HTMEDIA,1275169,10975437.5,3115
HUBTOWN,52868,106687972.6,3319
HUHTAMAKI,1775305,228716168.5,12707
IBREALEST,1167477,255568997.8,12257
ICDSLTD,746789,1772210221,28402
ICEMAKE,120106,119600069.9,10337
ICICIBANK,4486,1136747.35,384
ICICIGI,72156,19508209.5,2807
ICICIPRULI,22319,3130574.7,654
ICIL,354561,155692261.8,11066
ICRA,1443082,23261637.05,2451
IDBI,13340,13358185,2325
IDEA,1498795,1854961780,35535
IDFC,18945,42123.3,54
IDFCFIRSTB,9759124,1155445436,42343
IEX,5240,273020.9,147
IFBAGRO,11287961,162044020.6,6247
IFBIND,119852,35313494.8,6272
IFGLEXPOR,148931,286180905,8031
IGARASHI,7357117,10244525590,219960
IGL,1463375,762015691.5,37151
IGPL,246426,1428702.85,694
IIFLSEC,239037,609830860.8,22157
IIFLWAM,2355,4617229.25,573
IITL,1350,222417.2,39
IL&FSENGG,7325714,561316629.4,22756
IL&FSTRANS,45091,25412725.95,5128
IMAGICAA,19851,25689609.05,3178
IMFA,132070,43163738.45,5388
IMPAL,32943,90858700.9,7561
IMPEXFERRO,114217,9041971.7,893
INCREDIBLE,199946,20329799.5,3624
INDBANK,16565725,6735150180,160406
INDHOTEL,3693,1222703.45,252
INDIACEM,2232261,265950567.5,32970
INDIAGLYCO,2025576,220829143.6,10608
INDIAMART,201532,3231194.4,1642
INDIANB,21590,201856.5,51
INDIANCARD,146076,19749854.85,2404
INDIANHUME,4266039,886294141.6,39229
INDIGO,753331,1941479207,53085
INDIGOPNTS,26759,9332374.7,2058
INDLMETER,312524,89975210.8,6768
INDNIPPON,19176,4495187.05,655
INDOAMIN,1749,223504.45,93
INDOBORAX,24603,14904805.4,1079
INDOCO,5393,1295572.25,213
INDORAMA,847,167971.65,115
INDOSTAR,9575,33983735.8,3779
INDOTECH,109926,1059977.85,266
INDOTHAI,11249,333757.55,84
INDOWIND,11683,650087.55,274
INDRAMEDCO,16878,7943367.4,2959
INDSWFTLAB,36444,30092536.35,4952
INDSWFTLTD,4891,188210738.8,1647
INDTERRAIN,7761,12226486.05,608
INDUSINDBK,967,4765,6
INDUSTOWER,14759,809418.3,517
INEOSSTYRO,48340,19168564.6,4169
INFIBEAM,104105,7482479.15,1746
INFOBEAN,3601200,361190388.4,13254
INFOMEDIA,149124,3217473.95,549
INFY,83268,4671978.6,277
INGERRAND,60156,13689419.9,2228
INOXLEISUR,6425293,485315175.2,20184
INOXWIND,1706,62140.35,31
INSECTICID,24800,5961132.95,553
INSPIRISYS,11563124,9931465585,140406
INTELLECT,476988,540251364.3,27714
INTENTECH,668379,336456214.6,19201
