SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,SERIES,TIMESTAMP,ISIN
AYMSYNTEX,295.9,285,299.15,292.25,292,6930,2030170.6,538,EQ,2022-10-13,INE137C01018
BAFNAPH,2.35,2.25,2.35,2.3,2.35,75000,173873,89,EQ,2022-10-13,INE093B01015
BAGFILMS,494.3,488.4,496.55,490.7,490.65,169677,83351671.9,5918,EQ,2022-10-13,INE885A01032
BAJAJ-AUTO,2340,2269.2,2340.95,2277.6,2283.95,142831,326870196,8296,EQ,2022-10-13,INE371P01015
BAJAJCON,28.7,27.7,28.7,27.75,27.7,8050,224889.5,82,BE,2022-10-13,INE792B01012
BAJAJELEC,1566.6,1549.9,1593,1568.7,1577.7,28579,44952116,8250,EQ,2022-10-13,INE540G01014
BAJAJFINSV,505.4,491.5,505.4,496.85,495.55,6212954,3089102559,74673,EQ,2022-10-13,INE079A01024
BAJAJHCARE,73.9,72.35,74,73.45,73.5,21473,1567272.5,132,BE,2022-10-13,INE005I01014
BAJAJHIND,919.9,910.05,922.8,916.75,912,19326,17705722,2050,EQ,2022-10-13,INE00FF01017
BAJAJHLDNG,28.2,27.5,28.35,27.9,27.8,9937,277579.4,107,EQ,2022-10-13,INE606A01024
BAJFINANCE,719.25,710.05,720.15,713.8,714.35,7412,5300304.75,939,EQ,2022-10-13,INE098F01031
BALAJITELE,668.95,660.05,691.3,681.05,678,134096,90462416.4,5028,EQ,2022-10-13,INE463V01026
BALAMINES,101.1,98.9,102.3,100.45,100.15,1167327,117315573.8,7819,EQ,2022-10-13,INE242C01024
BALAXI,429,429,438.1,433.35,431,49007,21207931.05,2592,EQ,2022-10-13,INE435A01028
BALKRISHNA,143.35,141.5,145.45,143.05,143.5,99761,14308297.55,2912,EQ,2022-10-13,INE715B01021
BALKRISIND,20.15,19.8,20.15,19.9,19.8,26865,535061.4,242,EQ,2022-10-13,INE449C01025
BALMLAWRIE,1593.4,1562.55,1605,1588.35,1593,647108,1027115258,26037,EQ,2022-10-13,INE732I01013
BALPHARMA,42.5,40.4,43.45,41.15,41.2,122283,5069157.5,888,EQ,2022-10-13,INE087B01017
BALRAMCHIN,5.85,5.75,5.9,5.8,5.85,81724,474017.4,249,EQ,2022-10-13,INE106I01010
BANARBEADS,164.75,164.75,168.85,166.85,167.65,7562,1265463.4,711,EQ,2022-10-13,INE02AR01019
BANARISUG,21.05,20.3,21.65,21.2,21.3,87685,1840963.15,119,BE,2022-10-13,INE436A01026
BANCOINDIA,0.75,0.7,0.75,0.7,0.75,1219902,867172.15,610,EQ,2022-10-13,INE414B01021
BANDHANBNK,880,865,908,896.5,904.3,4364,3863794.75,653,EQ,2022-10-13,INE294Z01018
BANG,727.95,725,754,729.35,730,213251,157245056.8,12486,EQ,2022-10-13,INE930P01018
BANKA,1382.1,1382,1414,1396.8,1405,34827,48823023.85,4555,EQ,2022-10-13,INE372A01015
BANKBARODA,226.2,226.2,235,228.95,228,9905,2270736,537,EQ,2022-10-13,INE071F01012
BANKINDIA,561,560.25,572.75,566.45,566.25,57873,32747952.45,3984,EQ,2022-10-13,INE116A01032
BANSWRAS,298,294.05,302,296.6,298.1,22207,6599846.6,1771,EQ,2022-10-13,INE346W01013
BARBEQUE,1100,1086,1119,1089.65,1096,247517,273288821,13305,EQ,2022-10-13,INE702C01027
BARTRONICS,583.95,572.35,587.9,575.6,574.5,224475,129510613,5239,EQ,2022-10-13,INE901L01018
BASF,203.9,203,223.5,216.15,214.8,3565538,764965701.6,55205,EQ,2022-10-13,INE713T01010
BASML,4270.1,4236,4317.95,4266.05,4270,277038,1182265657,28764,EQ,2022-10-13,INE437A01024
BATAINDIA,515,515,523,520.4,519.5,28603,14859771.75,2513,EQ,2022-10-13,INE126J01016
BAYERCROP,273.7,268.15,275.5,272.25,272,1528929,415774850.3,15658,EQ,2022-10-13,INE438A01022
BBL,1463.05,1440,1591.25,1591.25,1591.25,41091,62447574.65,3047,EQ,2022-10-13,INE451F01024
BBOX,304,290.5,304.8,296.6,294.9,248674,74056464.05,7405,EQ,2022-10-13,INE266F01018
BBTC,302.25,293,307.35,301.2,302,352143,106111858,21012,EQ,2022-10-13,INE852O01025
BCG,81,79.35,81.75,79.65,80,68191,5468742.5,1078,EQ,2022-10-13,INE877I01016
BCLIND,21.35,21.05,23.4,22.8,22.6,792063,17728426.3,2852,EQ,2022-10-13,INE731A01020
BCONCEPTS,32.05,31.7,35.25,35.05,35,8507,287937.3,370,EQ,2022-10-13,INE610C01014
BCP,137,135.65,139.7,137.75,138,9939,1366846.9,414,EQ,2022-10-13,INE298I01015
BDL,75.9,61.4,76,68.05,68.95,293858,20832761.15,2610,EQ,2022-10-13,INE420B01036
BEARDSELL,220.5,216.55,223.8,221.75,219.85,18252,4022865.95,812,EQ,2022-10-13,INE643K01018
BECTORFOOD,1389,1365.7,1404.35,1375.65,1371.2,3149,4341996.8,433,EQ,2022-10-13,INE109C01017
BEDMUTHA,49.1,48,49.45,49.1,48.5,9014,438346.65,194,EQ,2022-10-13,INE210C01013
BEL,116.95,111.9,119.2,119.2,119.2,29395,3488730.9,158,BE,2022-10-13,INE570D01018
BEML,13.25,13.15,13.5,13.35,13.5,176458,2349032.2,361,EQ,2022-10-13,INE968D01022
BEPL,21.5,20.9,21.5,21.35,21.35,1964,41435.8,20,BE,2022-10-13,INE267I01010
BERGEPAINT,65.7,64.3,66.4,64.45,64.95,115656,7554354.25,1492,EQ,2022-10-13,INE025R01021
BESTAGRO,113.1,112.8,113.1,112.8,112.8,33584,3788346.6,111,EQ,2022-10-13,INE738V01013
BFINVEST,100.95,90.1,100.95,91,90.6,862,79108.65,63,EQ,2022-10-13,INE006Z01016
BFUTILITIE,96.95,95.2,97.9,95.65,95.6,795106,76799373.1,7564,EQ,2022-10-13,INE034A01011
BGRENERGY,314.9,304.05,316.5,305.2,305.8,271681,84139486.2,8010,EQ,2022-10-13,INE955V01021
BHAGCHEM,252,242.35,254.9,243.95,244,57064,14218949.8,1795,EQ,2022-10-13,INE034S01021
BHAGERIA,620,619.95,634,622.3,621,55338,34599167.2,5657,EQ,2022-10-13,INE439A01020
BHAGYANGR,300,294.75,301.15,297.6,301,12475,3708345.6,918,EQ,2022-10-13,INE228I01012
BHAGYAPROP,408,397.5,408,400.25,401.55,15488,6211703.45,1285,EQ,2022-10-13,INE900C01027
