SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST
REPRO,228.5,227.6,235,230.8,232.65
RESPONIND,854,854,871.3,862.45,861.4
REVATHI,280,277.5,284.6,279.5,278.8
RGL,2036.35,2000,2086.9,2067.8,2066
RHIM,123.25,120.8,125.2,122.9,122.9
RICOAUTO,94.5,92.25,95,92.5,92.5
RIIL,1.95,1.9,1.95,1.9,1.9
RITCO,135.6,135,137,136.25,136.5
RITES,157.7,151.45,160,155.4,156.5
RKDL,26.55,26.55,26.55,26.55,26.55
RKEC,988.2,969.2,990.8,974.95,983.6
RKFORGE,188.05,182.55,197.05,190.45,192.15
RMCL,2371.4,2360.1,2394,2382.8,2381
RML,172.05,167.8,185.5,183.75,185
ROHLTD,143.05,140.15,145.3,142.35,143
ROLEXRINGS,225.3,222,227,225.15,224
ROLLT,66,64.35,66.7,65.25,65
